Gene,Weight,Derection
DUSP23,0.005978663,Positive
ZNF385C,0.005973614,Positive
RBKS,0.005967835,Positive
NXF3,0.005962451,Positive
IGFBP7,0.00595471,Positive
PSAP,0.0059459,Positive
GMFG,0.005944782,Positive
CHRNE,0.005940334,Positive
LRATD1,0.005936083,Positive
HGD,0.005932686,Positive
CFHR1,0.005925407,Positive
RHBDF2,0.005916778,Positive
DMTN,0.005911523,Positive
PPP1R9A,0.005910031,Positive
LINGO2,0.005897916,Positive
FAM43A,0.005896453,Positive
HRC,0.005895465,Positive
HHLA2,0.005895093,Positive
CCDC191,0.005876584,Positive
HTR2C,0.005875744,Positive
OVCH2,0.00587004,Positive
LRMDA,0.005855388,Positive
OSTM1,0.005849427,Positive
XKR7,0.00584228,Positive
RAB26,0.005832817,Positive
CHD7,0.005822628,Positive
SYS1-DBNDD2,0.005816797,Positive
AADAC,0.00579106,Positive
FILIP1L,0.005787435,Positive
TBX15,0.005780882,Positive
IRX5,0.005779737,Positive
CST7,0.00577918,Positive
EGR3,0.005762726,Positive
DYNLT3,0.005744398,Positive
CSF1R,0.005740669,Positive
NAT16,0.005740434,Positive
IGFBP3,0.005739803,Positive
CABCOCO1,0.005738964,Positive
ANKS1B,0.005733709,Positive
GBP5,0.005732678,Positive
ZNF582,0.005729134,Positive
AIM2,0.005728863,Positive
CTNNA2,0.005722294,Positive
DUSP6,0.005720665,Positive
PGPEP1,0.00571995,Positive
S100A5,0.005714722,Positive
CHRD,0.005700209,Positive
HBEGF,0.005691325,Positive
LYNX1,0.005690712,Positive
GPRC5D,0.005690417,Positive
SLAMF8,0.005690067,Positive
LAMA4,0.005689619,Positive
HDAC9,0.00568516,Positive
GPR68,0.005680356,Positive
PCDHA4,0.005670971,Positive
CCNO,0.005667737,Positive
KAAG1,0.005665194,Positive
SYNPO2,0.005665147,Positive
TSPYL2,0.005651527,Positive
ZFP2,0.005641531,Positive
SLAMF7,0.005639759,Positive
DHRS12,0.005636361,Positive
MEI1,0.005634178,Positive
LONRF3,0.005619201,Positive
GUCY1A2,0.00561108,Positive
OPRL1,0.005605807,Positive
ATF7IP2,0.005605568,Positive
ESYT3,0.005603976,Positive
FNDC5,0.005602245,Positive
DTNA,0.005596859,Positive
MYH15,0.005595676,Positive
NFKBIZ,0.005593189,Positive
TIMP3,0.0055927,Positive
OSCAR,0.005585866,Positive
TSPAN11,0.005576381,Positive
CYP2C9,0.005569917,Positive
P4HA2,0.005563042,Positive
CAMK2N2,0.00556257,Positive
IL12A,0.005562434,Positive
RHCG,0.00556061,Positive
CLDN14,0.00555815,Positive
WNT10A,0.005558012,Positive
ADAMTS13,0.005552367,Positive
TFCP2L1,0.005542711,Positive
SEMA3C,0.00554212,Positive
PRKN,0.005537726,Positive
ACSBG1,0.005535476,Positive
ST14,0.005531515,Positive
C4BPB,0.005525634,Positive
DPP4,0.00551787,Positive
ATOH8,0.005512027,Positive
CADM1,0.005508973,Positive
CDH12,0.005508654,Positive
AQP3,0.005502817,Positive
NABP1,0.005487527,Positive
NR2E1,0.005487376,Positive
HRH3,0.005483547,Positive
SERTM1,0.005469561,Positive
DCAF12L1,0.005458694,Positive
ESPN,0.005454711,Positive
LYPD6B,0.005453379,Positive
ZBTB16,0.005445209,Positive
RGS18,0.005439711,Positive
VSIG1,0.00543767,Positive
MSMB,0.005434358,Positive
FSCN2,0.005431783,Positive
IER3,0.005428012,Positive
NPHP3-ACAD11,0.005425708,Positive
COBL,0.005423475,Positive
CRYBG2,0.005416778,Positive
GABRB2,0.005412387,Positive
LMNTD1,0.005399372,Positive
